1,class(0,1)	2,class(0,1)	3,class(0,1)	4,class(0,1)	5,class(0,1)	6,class(0,1)	7,class(0,1)	8,class(0,1)	9,class(0,1)	10,class(0,1)	11,class(0,1)	12,class(0,1)	13,class(0,1)	14,class(0,1)	15,class(0,1)	16,class(0,1)	17,class(0,1)	18,class(0,1)	19,class(0,1)	20,class(0,1)
0	0	1	0	1	0	1	1	1	0	0	0	1	X	0	0	1	X	1	0
0	0	0	0	0	0	1	X	0	1	0	1	X	1	1	X	1	0	X	X
0	0	1	0	1	X	X	1	1	0	0	1	1	1	0	0	1	1	1	0
1	0	X	0	1	0	1	0	1	1	0	X	0	1	1	0	1	1	1	1
1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0
0	0	1	X	1	0	1	1	1	0	0	1	1	1	X	0	1	0	1	0
1	0	0	0	0	1	X	0	0	0	X	0	1	1	0	1	1	1	X	0
0	0	X	0	1	0	0	X	1	0	0	0	1	X	1	0	X	1	0	0
0	0	0	0	0	0	1	1	0	1	1	X	0	0	1	1	X	1	0	0
0	0	1	1	1	1	1	1	1	0	0	1	1	X	0	0	1	1	1	0
0	0	0	1	1	X	1	1	1	0	1	0	1	X	0	0	1	0	0	0
0	0	0	0	1	0	1	0	1	0	1	0	1	X	0	X	X	0	1	0
0	0	X	0	0	0	1	1	0	1	0	0	X	0	0	0	1	0	1	0
0	0	1	0	1	0	0	X	1	X	0	1	1	X	0	0	1	0	1	0
0	1	0	0	1	0	1	1	1	0	1	1	0	1	1	X	1	1	1	0
0	0	1	0	1	0	1	1	0	0	0	0	0	0	X	0	1	1	1	0
1	1	0	0	X	0	1	1	1	0	0	0	X	0	0	0	1	1	1	0
X	0	1	0	1	0	1	1	X	0	1	1	1	1	0	0	1	1	1	0
0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	X	1	1	1	X
0	1	1	0	X	0	1	1	1	1	0	1	0	0	X	0	1	1	0	1
0	0	0	X	1	0	0	X	1	0	0	1	1	1	0	0	1	1	1	0
0	0	0	0	1	0	X	0	1	0	0	0	1	1	0	0	1	0	1	0
0	X	1	0	X	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0
0	1	0	1	1	1	1	0	1	0	0	0	1	0	X	0	1	1	1	X
0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0
0	0	1	1	1	1	1	X	1	0	0	1	0	0	1	0	1	X	0	0
1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	X	0
0	0	0	1	1	0	1	1	1	0	0	0	1	1	X	0	1	0	X	0
1	0	0	1	1	1	1	0	1	0	X	0	1	1	1	1	1	1	1	0
0	1	X	0	0	X	1	1	0	1	0	X	0	0	X	1	1	1	1	0
0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	X
0	0	1	0	1	0	1	1	1	0	0	0	1	X	1	0	1	1	1	0
X	1	X	0	1	X	X	0	1	0	0	1	1	0	0	0	1	1	0	0
0	0	1	0	1	0	1	X	0	0	1	1	1	1	0	0	1	1	1	0
0	0	1	0	1	0	0	1	1	0	0	1	1	1	X	0	1	1	1	X
1	0	1	1	0	0	0	1	X	0	1	0	1	1	0	0	0	0	1	0
0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0
0	0	X	1	1	0	1	1	X	0	0	0	0	0	1	1	1	1	0	0
0	0	0	X	0	1	1	1	0	1	0	X	1	1	0	0	1	1	1	1
0	0	X	0	1	0	X	1	1	0	X	1	1	1	X	1	X	1	1	0
0	0	1	X	0	0	1	0	0	1	0	1	1	X	0	0	1	X	1	0
1	0	0	0	1	1	1	0	1	0	0	X	1	1	0	0	1	0	1	0
1	X	0	0	1	0	1	1	0	0	0	X	X	X	0	1	1	1	0	0
1	0	X	1	1	0	0	0	1	0	1	0	0	0	0	0	1	X	1	0
X	0	1	X	0	0	0	1	0	0	0	0	X	0	0	0	1	1	X	0
X	1	1	X	1	0	1	1	X	1	0	0	X	0	1	0	X	1	1	0
0	0	X	0	1	0	1	0	1	X	X	X	1	1	0	0	1	0	1	0
1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	X	1	0
0	0	1	X	X	0	1	1	0	0	0	0	1	1	X	0	1	1	1	0
0	1	1	1	1	0	X	X	1	0	1	0	X	X	0	0	1	0	X	0
0	0	1	1	X	0	1	0	0	0	X	0	1	1	1	0	1	1	0	0
0	X	0	1	1	X	1	1	1	0	0	0	1	0	1	0	1	1	1	0
0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0
1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0
0	0	1	0	1	0	1	1	1	0	0	1	1	X	X	0	1	1	X	0
1	0	0	X	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0
1	1	1	0	0	0	1	1	X	1	0	1	0	0	0	0	1	X	1	X
1	0	0	0	0	X	1	0	0	0	1	0	1	1	0	1	1	1	1	0
0	1	1	0	0	0	1	1	1	1	X	0	1	1	0	0	1	1	1	0
